symbol,name,fyers_symbol
ASHOKA,Ashoka Buildcon Limited,NSE:ASHOKA-EQ
ASHOKAMET,Ashoka Metcast Limited,NSE:ASHOKAMET-EQ
ASHOKLEY,Ashok Leyland Limited,NSE:ASHOKLEY-EQ
ASIANENE,Asian Energy Services Limited,NSE:ASIANENE-EQ
ASIANHOTNR,Asian Hotels (North) Limited,NSE:ASIANHOTNR-EQ
ASIANPAINT,Asian Paints Limited,NSE:ASIANPAINT-EQ
ASIANTILES,Asian Granito India Limited,NSE:ASIANTILES-EQ
ASIANTNE,Asian Tea & Exports Limited,NSE:ASIANTNE-EQ
ASKAUTOLTD,ASK Automotive Limited,NSE:ASKAUTOLTD-EQ
ASPINWALL,Aspinwall and Company Limited,NSE:ASPINWALL-EQ
ASSAMENT,Assam Entrade Limited,NSE:ASSAMENT-EQ
ASTAR,Asian Star Company Limited,NSE:ASTAR-EQ
ASTEC,Astec LifeSciences Limited,NSE:ASTEC-EQ
ASTERDM,Aster DM Quality Care Limited,NSE:ASTERDM-EQ
ASTRAL,Astral Limited,NSE:ASTRAL-EQ
ASTRAMICRO,Astra Microwave Products Limited,NSE:ASTRAMICRO-EQ
ASTRAZEN,AstraZeneca Pharma India Limited,NSE:ASTRAZEN-EQ
ATALREAL,Atal Realtech Limited,NSE:ATALREAL-EQ
ATAM,Atam Valves Limited,NSE:ATAM-EQ
ATGL,Adani Total Gas Limited,NSE:ATGL-EQ
ATHERENERG,Ather Energy Limited,NSE:ATHERENERG-EQ
ATL,Allcargo Terminals Limited,NSE:ATL-EQ
ATLANTAA,ATLANTAA LIMITED,NSE:ATLANTAA-EQ
ATLANTAELE,Atlanta Electricals Limited,NSE:ATLANTAELE-EQ
ATLASCYCLE,Atlas Cycles (Haryana) Limited,NSE:ATLASCYCLE-EQ
ATUL,Atul Limited,NSE:ATUL-EQ
ATULAUTO,Atul Auto Limited,NSE:ATULAUTO-EQ
AUBANK,AU Small Finance Bank Limited,NSE:AUBANK-EQ
AUGMONT,Augmont Enterprises Limited,NSE:AUGMONT-EQ
AURIONPRO,Aurionpro Solutions Limited,NSE:AURIONPRO-EQ
AUROPHARMA,Aurobindo Pharma Limited,NSE:AUROPHARMA-EQ
AURUM,Aurum PropTech Limited,NSE:AURUM-EQ
AURUS,AURUS GEM CORPORATION LIMITED,NSE:AURUS-EQ
AUSOMENT,Ausom Enterprise Limited,NSE:AUSOMENT-EQ
AUSTENG,Austin Engineering Company  Limited,NSE:AUSTENG-EQ
AUTOAXLES,Automotive Axles Limited,NSE:AUTOAXLES-EQ
AUTOIND,Autoline Industries Limited,NSE:AUTOIND-EQ
AVADHSUGAR,Avadh Sugar & Energy Limited,NSE:AVADHSUGAR-EQ
AVALON,Avalon Technologies Limited,NSE:AVALON-EQ
AVANCE,Avance Technologies Limited,NSE:AVANCE-EQ
AVANTEL,Avantel Limited,NSE:AVANTEL-EQ
AVANTIFEED,Avanti Feeds Limited,NSE:AVANTIFEED-EQ
AVL,Aditya Vision Limited,NSE:AVL-EQ
AVONMORE,Avonmore Capital & Management Services Limited,NSE:AVONMORE-EQ
AVROIND,AVRO INDIA LIMITED,NSE:AVROIND-EQ
AVTNPL,AVT Natural Products Limited,NSE:AVTNPL-EQ
AWFIS,Awfis Space Solutions Limited,NSE:AWFIS-EQ
AWHCL,Antony Waste Handling Cell Limited,NSE:AWHCL-EQ
AWL,AWL Agri Business Limited,NSE:AWL-EQ
AXISBANK,Axis Bank Limited,NSE:AXISBANK-EQ
AXISCADES,AXISCADES Technologies Limited,NSE:AXISCADES-EQ
AXITA,Axita Cotton Limited,NSE:AXITA-EQ
AXTEL,Axtel Industries Limited,NSE:AXTEL-EQ
AYE,Aye Finance Limited,NSE:AYE-EQ
AYMSYNTEX,AYM Syntex Limited,NSE:AYMSYNTEX-EQ
AZAD,Azad Engineering Limited,NSE:AZAD-EQ
AZADIND,Azad India Mobility Limited,NSE:AZADIND-EQ
BAGFILMS,B.A.G Films and Media Limited,NSE:BAGFILMS-EQ
BAIDFIN,Baid Finserv Limited,NSE:BAIDFIN-EQ
BAJAJ-AUTO,Bajaj Auto Limited,NSE:BAJAJ-AUTO-EQ
BAJAJCON,Bajaj Consumer Care Limited,NSE:BAJAJCON-EQ
BAJAJELEC,Bajaj Electricals Limited,NSE:BAJAJELEC-EQ
BAJAJFINSV,Bajaj Finserv Limited,NSE:BAJAJFINSV-EQ
BAJAJHCARE,Bajaj Healthcare Limited,NSE:BAJAJHCARE-EQ
